,0,1,2,3,4,5,6,7,8,9
0,0.0,4.036783,1.5360096,2.1997514,3.5153518,3.269381,2.4988687,0.0,3.095996,1.4402078
1,0.0,1.568305,2.2719684,1.9437442,2.3868403,1.6924655,1.980988,0.0,2.8573844,1.5606159
2,0.0,2.719092,2.7801867,1.635531,1.7855232,2.169017,1.9337739,0.0,3.6524215,2.906376
3,0.0,1.0798353,2.1754034,2.3399692,3.02574,3.4558234,1.3618157,0.0,2.3820732,3.6905186
4,0.0,4.0338087,1.6657687,2.3040776,3.533408,3.3644729,2.5655923,0.0,3.1803904,1.5631517
5,0.0,4.1417613,1.6533003,2.3416882,3.6360242,3.4625387,2.6679435,0.0,3.2367485,1.5936103
6,0.0,1.2605326,2.3833828,2.4212155,3.1639192,3.6696777,1.608142,0.0,2.6732512,3.822539
7,0.0,1.875378,3.5985892,3.2729988,1.1336534,3.2208023,2.1354208,0.0,2.579922,0.8646388
8,0.0,3.3334289,2.6779122,2.456284,3.261014,3.556397,2.3762693,0.0,3.0602107,1.9819784
9,0.0,3.8952236,1.5044421,2.1594522,3.4052496,3.1970057,2.407389,0.0,2.9769979,1.4192686
10,0.0,2.1561317,2.473843,2.3853526,2.178381,2.700236,2.2736843,0.0,2.6099072,2.2045813
11,0.0,3.1373935,2.4535694,2.2880383,3.0935779,3.3718336,2.4007058,0.0,3.035512,1.9262117
12,0.0,1.1094702,2.1674395,2.2912679,3.0645685,3.4642653,1.4132946,0.0,2.3810437,3.6831574
13,0.0,2.594449,2.3180263,3.0259938,2.3507433,2.5523262,2.0465522,0.0,2.8898048,2.404063
14,0.0,3.0081487,2.29699,2.1439793,2.9781919,3.1697695,2.228757,0.0,2.8401616,1.7770131
15,0.0,2.8853436,2.834501,1.6614616,1.976089,2.5159357,1.9675162,0.0,3.7385387,2.8946247
16,0.0,4.2175746,1.8042535,2.5223536,3.6211329,3.4204807,2.5477173,0.0,3.2389026,1.60622
17,0.0,1.8493191,3.179239,2.6210935,1.6519315,3.0274453,2.6243632,0.0,2.8466682,2.1181304
18,0.0,1.1949999,2.2668557,2.174737,1.7151818,3.4871612,1.9472933,0.0,4.9137206,1.919677
19,0.0,2.4344769,2.273333,2.6104655,2.4030166,2.616669,2.23873,0.0,2.7603798,2.4302492
20,0.0,1.6793456,2.977478,2.5503922,3.4809206,1.4516709,2.751721,0.0,3.9447637,1.7620683
21,0.0,3.4254775,3.6014311,1.9829283,1.8827889,2.144053,2.1261196,0.0,4.6034603,3.904181
22,0.0,2.2323399,2.566676,2.4075205,2.1990333,2.8064039,2.2447574,0.0,2.7984664,2.2883654
23,0.0,1.1946204,2.2491467,2.1452122,1.722802,3.46191,1.9220754,0.0,4.8838053,1.9160962
24,0.0,2.786095,2.6996672,1.6115725,1.941963,2.43241,1.9296871,0.0,3.568987,2.7957108
25,0.0,2.138803,1.7631992,2.9483287,1.7427081,2.428123,3.390009,0.0,2.681347,3.0292602
26,0.0,3.879707,1.6417446,2.3054247,3.3969631,3.2805443,2.468739,0.0,3.097644,1.594353
27,0.0,1.6169589,4.0688496,2.3631577,1.4385797,1.8069767,3.252921,0.0,2.6779208,2.3616073
28,0.0,1.8654523,3.3008611,2.5961998,1.671418,3.1635633,2.5890362,0.0,2.994323,2.0529213
29,0.0,2.934751,2.9166448,1.8089722,1.98593,2.4262686,1.9228027,0.0,3.6453695,2.8851018
30,0.0,1.6259367,2.9180987,2.50203,3.4150891,1.3800162,2.6742468,0.0,3.8550777,1.7040595
31,0.0,1.6018789,2.9348655,2.521735,3.2672262,1.2461736,2.485987,0.0,3.7139654,1.6644483
32,0.0,1.827008,2.8542295,2.3155787,2.791739,2.0553713,2.3383787,0.0,3.53776,1.827491
33,0.0,1.7805063,3.2247074,2.851756,3.5633204,1.430674,2.7073438,0.0,4.109399,1.8277144
34,0.0,3.1091428,2.4011276,2.2536,3.037285,3.2724848,2.1277301,0.0,2.8139353,1.7392719
35,0.0,2.1769388,1.9424226,2.9507976,1.7221305,2.418425,3.0408864,0.0,2.5668364,2.9505382
36,0.0,2.6948507,2.6421773,1.5927254,1.8641055,2.3327315,1.8436091,0.0,3.5116525,2.6986465
37,0.0,3.1303554,2.4685802,2.1903415,3.0937595,3.3094404,2.1698003,0.0,2.8297195,1.7387373
38,0.0,1.226669,2.2678113,2.3360257,3.0888429,3.5699368,1.5667328,0.0,2.5411386,3.6530359
39,0.0,2.797693,2.9430788,1.5153708,1.8460338,2.64399,1.9096745,0.0,3.8408666,2.7836964
40,0.0,1.1577911,2.3064969,2.387617,3.2116625,3.6506267,1.5084085,0.0,2.531042,3.9028583
41,0.0,3.2240624,3.0819852,1.3962379,1.5548918,1.7008417,1.7416497,0.0,4.0867314,3.685038
42,0.0,1.559795,3.964837,2.313476,1.4634941,1.804955,3.2458248,0.0,2.6482031,2.3443158
43,0.0,4.086969,1.6909667,2.2951856,3.5883718,3.404632,2.6396403,0.0,3.2500687,1.5959613
44,0.0,1.857338,3.0237591,2.4793172,3.1017437,2.076375,2.5897732,0.0,3.8076262,1.885831
45,0.0,3.1996803,3.074566,1.4025376,1.5686021,1.6956475,1.7288587,0.0,4.0825853,3.6594887
46,0.0,3.3232286,3.2632487,1.5829878,1.5182648,1.6192462,1.6235874,0.0,4.161372,3.803168
47,0.0,1.8971441,3.3504698,2.5229468,2.1450138,3.5820892,2.7308054,0.0,2.4949818,2.0800436
